order_id,customer_name,email,order_date,amount,status
40,,qzuvy@siktn.com,2026-03-25,-277,completed
11,,atcww@l6vzt.com,2026-04-02,-301,completed
2,,nlzhi@b2i3r.com,2026-04-23,88,pending
3,ABMgtEwOSj,krati@2mi9c.com,2026-03-02,536,cancelled
4,DBiAuSEpFk,invalidemail.com,2026-03-22,945,completed
5,mbtrEylckT,vpnzt@sw4ud.com,2026-03-13,539,cancelled
6,ybLbEpAQcs,zyych@ja4xo.com,2026-04-19,214,cancelled
7,idDChxFYVP,rpvmw@89z8d.com,2026-04-06,-60,completed
8,PfgyunQtlS,cwdaj@9l143.com,2026-04-17,834,completed
9,kNNzpKNtyS,uswce@06adc.com,2026-04-24,288,pending
10,mxFxSSuvEN,leivf@6tsju.com,2026-04-03,803,pending
11,WaHgEfBvsN,yriav@02uuq.com,2026-03-17,456,completed
12,UQtpalBEdL,sxsbi@6p2wy.com,2026-04-16,604,completed
13,luwueViTgY,rmikn@tadws.com,2026-03-07,279,cancelled
14,rDLZRKEpis,wpbnp@1es9x.com,2026-04-02,970,pending
15,rnvTgbkHfm,xeznc@9lhzs.com,2026-03-03,690,completed
16,fwnsPIdHNj,sjaah@hhrr6.com,2026-04-15,569,pending
17,HqxXbeXpPy,rzygg@19qpw.com,2026-03-18,260,pending
18,lvIsUlNaPh,lgvlp@dr7qz.com,2026-04-16,840,cancelled
19,vHjSxpqPRA,ydukg@ode72.com,2026-02-24,612,pending
20,mhcKJnFIIv,iotny@b9s59.com,2026-02-23,76,pending
21,JuXDrOBfsl,jwlvb@204gp.com,2026-03-11,62,pending
22,sMAsHTlgPq,xgsiy@1hx8w.com,2026-03-14,963,pending
23,qJGpYHibsM,fwxdt@763eb.com,2026-04-18,463,cancelled
24,lfOoxUAsMP,zcyjc@tpcvg.com,2026-03-08,736,completed
25,ElsjWcXymn,clikn@03eri.com,2026-03-04,548,completed
26,suzUhuoYEm,hozaw@kfawc.com,2026-03-27,8,completed
27,RHcPuHqnqi,aenot@zto79.com,2026-03-26,563,cancelled
28,GdppaRxuhn,hvwig@h6972.com,2026-04-14,658,completed
29,ouaAihJLXU,xowpl@hhsop.com,2026-03-06,403,completed
30,wNkGeqiDzA,iuigr@2xd9e.com,2026-03-14,502,cancelled
31,YjuVInMvwD,gvymt@kgc9d.com,2026-03-19,569,pending
32,dmNRAjKfYd,fxoiz@7gayz.com,2026-04-16,988,pending
33,xDypuwctpH,jcwpg@kzia9.com,2026-03-22,583,completed
34,fkDKYnJQiZ,tmyla@ngezz.com,2026-02-23,593,completed
35,lJQQCAEcAz,vduod@acrpw.com,2026-04-21,863,completed
36,cMVWGdIpDo,uvbvk@76y2s.com,2026-03-21,459,completed
37,vyMzXZUYeY,apqjf@nn27s.com,2026-04-04,396,completed
38,dXagrJLxDC,hjafn@wqu84.com,2026-03-10,-32,pending
39,LQizlRXdac,udkid@6sck8.com,2026-04-17,429,cancelled
40,oPAuGolHFq,qkfkz@m10z3.com,2026-04-13,490,completed
41,dewJlNygTV,vzrdl@59ji5.com,2026-04-19,259,pending
42,NdccoyJmUJ,ifqfv@vikw6.com,2026-03-30,960,cancelled
43,GtKnWthDwT,ioynf@tk44a.com,2026-03-19,756,cancelled
44,zxuDLBXeSD,tftjz@ym1yx.com,2026-04-10,373,cancelled
45,BAxjFnrcdR,bxgab@8do4m.com,2026-02-23,540,cancelled
46,KvqmrcVIbf,kzbjz@gdcas.com,2026-03-03,787,completed
47,PcUcCIJwZe,frmsm@rqaxe.com,2026-04-22,404,cancelled
48,DJbITQkgdl,jhvrw@0mfwd.com,2026-04-20,951,cancelled
49,MPyCNrehuE,kwate@7t5eu.com,2026-04-22,366,pending
